player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Blake J.,Sanguinetti D.,"[('2006-01-09', 'N'), ('2007-04-11', 'N')]",[],1,,,,,,,,,,,,,
Bjorkman J.,Blake J.,"[('2007-10-09', 'N'), ('2008-07-24', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Koubek S.,"[('2007-09-01', 'N')]",[],1,,,,,,,,,,,,,
Almagro N.,Blake J.,"[('2006-06-02', 'U'), ('2010-03-17', 'U')]","[('2006-06-02', 'UL'), ('2010-03-17', 'UW')]",1,,,,,,,,,,,,,
Blake J.,Goldstein P.,"[('2007-07-20', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Serra F.,"[('2006-05-08', 'N'), ('2007-03-12', 'N'), ('2007-03-23', 'U'), ('2009-02-13', 'N'), ('2009-05-08', 'N')]","[('2007-03-23', 'UL')]",3,4,1,5,0.8164965809277259,0.20710808912126266,0.4142161782425253,,,,,,,
Blake J.,Zabaleta M.,"[('2007-04-15', 'U')]","[('2007-04-15', 'UL')]",1,,,,,,,,,,,,,
Blake J.,Seppi A.,"[('2006-01-04', 'U'), ('2008-03-28', 'N'), ('2008-05-07', 'U'), ('2009-06-22', 'U')]","[('2006-01-04', 'UL'), ('2008-05-07', 'UW'), ('2009-06-22', 'UL')]",3,1,3,4,1.0,0.15865525393145707,0.31731050786291415,,,,,,,
Blake J.,Martin A.,"[('2005-10-14', 'N'), ('2006-01-03', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Garcia-Lopez G.,"[('2005-10-11', 'N'), ('2011-10-25', 'U')]","[('2011-10-25', 'UL')]",2,1,1,2,,,,,,,,,,
Blake J.,Hernandez O.,"[('2007-10-24', 'N'), ('2008-04-19', 'N'), ('2008-10-23', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Youzhny M.,"[('2009-06-12', 'N'), ('2012-05-29', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Ferrero J.C.,"[('2006-08-16', 'U'), ('2007-06-29', 'U'), ('2007-08-17', 'N')]","[('2006-08-16', 'UL'), ('2007-06-29', 'UL')]",2,1,2,3,0.7071067811865469,0.2397500610934769,0.4795001221869538,,,,,,,
Berdych T.,Blake J.,"[('2006-09-06', 'N'), ('2009-03-30', 'U')]","[('2009-03-30', 'UW')]",2,1,1,2,,,,,,,,,,
Blake J.,Massu N.,"[('2007-05-09', 'N'), ('2008-01-15', 'N')]",[],1,,,,,,,,,,,,,
